timeframe,team_id,player_id,x,y,vx,vy
1,0,1,18,25,0,0
2,0,1,17,24,-1,-1
3,0,1,16,23,-1,-1
4,0,1,15,22,-1,-1
5,0,1,14,21,-1,-1
6,0,1,13,20,-1,-1
7,0,1,12,19,-1,-1
8,0,1,11,18,-1,-1
9,0,1,10,17.09883016,-1,-0.90116984
10,0,1,9.395346883,16.60688139,-0.604653117,-0.49194877
11,0,1,9.113601642,16.35498543,-0.281745241,-0.25189596
12,0,1,8.958596311,16.20251212,-0.155005331,-0.15247331
13,0,1,8.854832061,16.07838424,-0.10376425,-0.12412788
14,0,1,8.78977949,15.98191002,-0.065052571,-0.09647422
15,0,1,8.733430495,15.89297703,-0.056348995,-0.08893299
16,0,1,8.689625186,15.80764629,-0.043805309,-0.08533074
17,0,1,8.655203534,15.74162258,-0.034421652,-0.06602371
18,0,1,8.627606737,15.68625515,-0.027596797,-0.05536743
19,0,1,8.580982907,15.65626171,-0.04662383,-0.02999344
20,0,1,8.567231776,15.73095086,-0.013751131,0.07468915
21,0,1,8.591023666,15.82233673,0.02379189,0.09138587
22,0,1,8.612332409,15.89401945,0.021308743,0.07168272
23,0,1,8.634235488,15.94575856,0.021903079,0.05173911
24,0,1,8.647911269,15.97397565,0.013675781,0.02821709
25,0,1,8.653558372,15.99465507,0.005647103,0.02067942
26,0,1,8.658157327,16.00405983,0.004598955,0.00940476
27,0,1,8.697869277,16.01564365,0.03971195,0.01158382
28,0,1,8.7779563,16.04264674,0.080087023,0.02700309
29,0,1,8.834056883,16.04706557,0.056100583,0.00441883
30,0,1,9.033405972,16.202776,0.199349089,0.15571043
31,0,1,9.079975625,16.2224716,0.046569653,0.0196956
32,0,1,9.050067286,16.19035374,-0.029908339,-0.03211786
33,0,1,9.005803736,16.17514381,-0.04426355,-0.01520993
34,0,1,8.926755722,16.13400087,-0.079048014,-0.04114294
35,0,1,8.833898632,16.07651529,-0.09285709,-0.05748558
36,0,1,8.730979555,15.98687593,-0.102919077,-0.08963936
37,0,1,8.6585846,15.88293834,-0.072394955,-0.10393759
38,0,1,8.630543076,15.78102846,-0.028041524,-0.10190988
39,0,1,8.646023406,15.69619591,0.01548033,-0.08483255
40,0,1,8.685229978,15.62091349,0.039206572,-0.07528242
41,0,1,8.737225434,15.55716347,0.051995456,-0.06375002
42,0,1,8.804988825,15.50076814,0.067763391,-0.05639533
43,0,1,8.886566908,15.44456963,0.081578083,-0.05619851
44,0,1,8.976607032,15.38528066,0.090040124,-0.05928897
45,0,1,9.063523502,15.32273883,0.08691647,-0.06254183
46,0,1,9.155695002,15.24867906,0.0921715,-0.07405977
47,0,1,9.28186732,15.12124203,0.126172318,-0.12743703
48,0,1,9.442759908,14.91582365,0.160892588,-0.20541838
49,0,1,9.600192811,14.67931984,0.157432903,-0.23650381
50,0,1,9.744237163,14.5221612,0.144044352,-0.15715864
51,0,1,9.812835008,14.51150602,0.068597845,-0.01065518
52,0,1,9.837497687,14.55624485,0.024662679,0.04473883
